"id","PlayerName","DraftAge","Country","Height","Weight","Position","DraftYear","Overall","CSS_rank","rs_GP","rs_G","rs_A","rs_P","rs_PIM","rs_PlusMinus","po_GP","po_G","po_A","po_P","po_PIM","po_PlusMinus","sum_7yr_GP","sum_7yr_TOI"
"1,342",Marcus Jonasen,18,Sweden,76,216,R,"2,002",81,,16,2,1,3,6,0,,,,,,,,
"12,033",John Adams,20,USA,74,187,D,"2,002",82,63,25,0,5,5,20,14,,,,,,,,
"15,514",Marek Chvatal,18,Czech Rep.,72,187,D,"2,002",84,66,51,10,14,24,99,23,1,0,0,0,0,0,,
"10,836",Ahren Spylo,19,Canada,75,225,L,"2,002",85,,52,19,11,30,100,8,9,4,1,5,23,-1,,
"18,022",Jonas Fiedler,20,Czech Rep.,74,198,L,"2,004",235,,63,18,28,46,83,0,9,1,6,7,16,-1,,
"11,489",Dominic D'Amour,18,Canada,75,220,D,"2,002",88,56,68,5,5,10,225,-8,12,0,3,3,32,1,,
"13,657",Tomas Troliga,18,Slovakia,77,225,L,"2,002",89,78,14,1,3,4,31,-4,,,,,,,,
"43,127",Jesse Lane,19,USA,74,205,D,"2,002",91,48,51,16,25,41,91,-11,11,1,9,10,18,0,,
"59,303",Derek Krestanovic,19,Canada,73,176,C,"2,002",92,,63,15,33,48,93,16,12,7,4,11,16,2,,
"18,986",Alexander Kozhevnikov,18,Russia,75,207,L,"2,002",93,92,32,12,15,27,59,0,,,,,,,,
"15,303",Eric Lundberg,19,USA,75,201,D,"2,002",94,68,36,0,9,9,26,-2,,,,,,,,
"16,587",Jeff Genovy,20,USA,74,205,C,"2,002",96,38,60,24,24,48,96,0,3,1,4,5,2,0,,
"12,048",Lance Monych,18,Canada,74,203,C,"2,002",97,27,71,18,30,48,96,2,19,4,3,7,20,0,,
"21,070",Ivan Tkachenko,23,Russia,71,187,R,"2,002",98,,54,16,24,40,61,24,9,5,2,7,4,6,,
"9,459",Michael Lambert,18,Canada,74,194,L,"2,002",99,37,79,31,26,57,113,-10,7,1,6,7,15,1,,
"12,233",Dmitri Kazionov,18,Russia,75,205,C,"2,002",100,35,17,1,2,3,4,1,,,,,,,,
67,Daniel Fernholm,19,Sweden,76,229,D,"2,002",101,26,12,5,13,18,12,29,,,,,,,,
"3,195",Joonas Vihko,21,Finland,69,185,R,"2,002",103,,48,13,11,24,89,-2,2,0,2,2,4,1,,
"14,336",Rosario Ruggeri,18,Canada,73,214,D,"2,002",105,66,68,3,15,18,145,0,4,1,1,2,10,0,,
"52,083",Ivan Koltsov,18,Russia,75,198,D,"2,002",106,38,27,2,2,4,24,0,,,,,,,,
"3,198",Mikko Kalteva,18,Finland,75,198,D,"2,002",107,33,36,5,3,8,16,4,8,2,2,4,0,0,,
"58,285",Jakub Hulva,18,Czech Rep.,73,179,R,"2,002",108,,46,24,24,48,36,29,6,1,0,1,2,-1,,
"39,661",Jevon Desautels,18,Canada,75,214,L,"2,002",109,97,60,6,11,17,162,-5,11,1,0,1,20,1,,
"3,217",Jarkko Immonen,18,Finland,71,190,C,"2,002",110,,43,16,17,33,26,16,2,0,1,1,2,1,,
524,Jonas Almtorp,19,Sweden,73,190,C,"2,002",111,46,47,27,22,49,106,0,2,1,1,2,4,0,,
"52,102",Yuri Artyomenkov,18,Russia,72,176,R,"2,002",112,43,32,24,18,42,10,0,,,,,,,,
"19,350",Scott Dobben,19,Canada,73,205,L,"2,002",113,92,68,31,32,63,72,38,21,4,11,15,24,8,,
"10,641",John Laliberte,19,USA,74,190,L,"2,002",114,105,35,39,44,83,60,0,,,,,,,,
"15,691",Mark Rooneem,19,Canada,74,192,F,"2,002",115,,69,18,23,41,77,11,4,0,0,0,10,0,,
"58,426",Petr Dvorak,19,Czech Rep.,72,190,R,"2,002",118,82,48,24,26,50,90,0,,,,,,,,
"11,562",Jekabs Redlihs,20,Latvia,74,190,D,"2,002",119,113,90,12,28,40,69,2,,,,,,,,
358,Robin Jonsson,19,Sweden,74,220,D,"2,002",120,60,53,4,4,8,26,-9,,,,,,,,
"43,685",David Turon,19,Czech Rep.,74,198,D,"2,002",122,28,55,5,12,17,85,18,,,,,,,,
"41,870",Robin Kovar,18,Czech Rep.,73,196,C,"2,002",123,75,35,5,10,15,18,-13,,,,,,,,
"13,405",Lane Manson,18,Canada,81,249,D,"2,002",124,,67,4,3,7,88,1,12,0,1,1,6,2,,
518,Johan Bjork,18,Sweden,73,194,D,"2,002",125,,66,2,4,6,96,1,10,0,0,0,10,0,,
"58,464",Konstantin Baranov,20,Russia,71,185,R,"2,002",126,,31,3,6,9,26,8,3,0,2,2,0,1,,
"57,630",Jan Kubista,18,Czech Rep.,72,185,F,"2,002",130,17,49,13,12,25,40,6,6,0,2,2,0,3,,
"1,343",Johan Berggren,18,Sweden,76,207,D,"2,002",131,,25,1,7,8,22,0,,,,,,,,
"3,187",Topi Jaakola,19,Finland,73,196,D,"2,002",134,20,70,0,4,4,24,3,6,1,0,1,4,-2,,
"13,488",Andy Sertich,19,Croatia,72,183,D,"2,002",136,83,39,26,52,78,35,0,2,0,0,0,2,0,,
"14,562",Patrick Jarrett,18,Canada,71,181,C,"2,002",138,100,47,6,24,30,24,-17,,,,,,,,
"50,374",George Davis,19,Canada,74,236,R,"2,002",140,,46,4,1,5,274,2,16,1,2,3,18,-1,,
"17,909",Jiri Cetkovsky,19,Czech Rep.,78,243,L,"2,002",141,37,28,9,6,15,40,-3,2,0,0,0,4,-4,,
"18,722",Emanuel Peter,18,Switzerlan,73,209,C,"2,002",142,27,50,2,9,11,18,-2,6,1,0,1,4,0,,
"14,852",Mike Walsh,19,USA,74,190,L,"2,002",143,82,53,25,24,49,69,0,,,,,,,,
"19,219",Viktor Bobrov,18,Russia,74,201,C,"2,002",146,,36,11,16,27,20,0,,,,,,,,
"10,298",David Bararuk,19,Canada,72,174,C,"2,002",147,,72,33,29,62,31,10,12,3,2,5,0,-4,,
547,Marcus Paulsson,18,Sweden,74,198,L,"2,002",149,,45,2,4,6,47,-8,,,,,,,,
"11,530",Brock Hooton,19,Canada,74,183,C,"2,002",150,118,60,34,50,84,33,0,,,,,,,,
"13,392",Greg Hogeboom,20,Canada,72,179,R,"2,002",152,,36,14,9,23,22,-12,,,,,,,,
"12,237",Krisjanis Redlihs,21,Latvia,74,176,D,"2,002",154,,77,2,13,15,26,-1,3,2,2,4,0,0,,
"12,547",Armands Berzins,19,Latvia,75,220,C,"2,002",155,78,67,22,21,43,79,12,12,2,2,4,6,-2,,
"49,470",Joel Andresen,19,Canada,74,218,D,"2,002",157,,53,9,19,28,62,0,6,0,2,2,12,0,,
"13,396",Vince Bellissimo,20,Canada,72,198,C,"2,002",158,43,61,37,39,76,33,0,,,,,,,,
"1,344",Kristofer Persson,18,Sweden,76,203,R,"2,002",159,,25,7,6,13,2,0,3,2,0,2,0,0,,
"10,640",Tom Walsh,19,USA,72,201,D,"2,002",163,,0,0,0,0,0,0,,,,,,,,
"14,458",Justin Maiser,19,USA,72,190,L,"2,002",165,40,36,8,14,22,65,-2,,,,,,,,
"11,501",Brad Schell,18,Canada,72,190,C,"2,002",167,29,70,20,36,56,16,-4,11,0,8,8,6,6,,
"12,018",Tim Konsorada,18,Canada,73,207,R,"2,002",168,49,71,17,28,45,36,-1,19,2,11,13,8,-4,,
"15,610",Jeremy Swanson,18,Canada,72,207,D,"2,002",169,42,67,8,16,24,78,27,20,1,4,5,12,6,,
"12,036",P.J. Atherton,20,USA,74,190,D,"2,002",170,114,54,7,22,29,101,0,8,0,0,0,14,0,,
"11,584",Luke Fritshaw,18,Canada,76,207,D,"2,002",173,,64,0,17,17,69,15,,,,,,,,
"3,238",Karri Akkanen,18,Finland,78,247,F,"2,002",174,87,20,6,7,13,34,0,4,1,0,1,4,0,,
"13,431",Jake Taylor,19,USA,76,225,D,"2,002",177,71,56,1,2,3,147,0,7,0,0,0,11,0,,
"48,284",Maxim Shchevyev,18,Russia,72,198,C,"2,002",178,16,57,7,14,21,36,3,,,,,,,,
"27,586",Marian Havel,18,Czech Rep.,72,185,C,"2,002",179,65,67,17,16,33,83,-44,,,,,,,,
"40,942",Kirill Sidorenko,19,Russia,76,196,R,"2,002",180,,45,9,3,12,16,-18,,,,,,,,
"15,023",Ryan Murphy,19,USA,71,185,R,"2,002",185,,35,7,7,14,16,-1,,,,,,,,
"3,242",Kevin Kantee,18,Finland,74,209,D,"2,002",188,62,43,5,10,15,32,5,5,2,1,3,0,0,,
"58,479",Alexei Stonkus,18,Russia,72,192,D,"2,002",189,29,55,5,7,12,52,-13,,,,,,,,
"14,038",Nikita Korovkin,19,Russia,74,207,D,"2,002",192,44,72,4,23,27,103,33,1,0,0,0,2,-1,,
"3,179",Kim Hirschovits,20,Finland,73,194,C,"2,002",194,,77,14,23,37,60,21,4,3,6,9,0,4,,
"15,684",Taylor Christie,19,Canada,75,209,D,"2,002",195,,37,0,2,2,40,-13,,,,,,,,
"19,744",Jimmy Cuddihy,18,Canada,75,205,C,"2,002",197,,56,9,18,27,49,6,,,,,,,,
"19,591",Denis Yachmenyov,18,Russia,73,196,L,"2,002",200,55,65,17,12,29,32,0,5,2,0,2,0,0,,
"41,413",Mathieu Brunelle,19,Canada,71,176,L,"2,002",201,,72,43,64,107,105,14,22,11,13,24,49,14,,
"9,640",Patrik Bartschi,18,Switzerlan,70,196,R,"2,002",202,30,49,21,17,38,18,2,13,5,4,9,4,0,,
"52,860",Josh Morrow,19,Canada,73,207,D,"2,002",203,,76,10,27,37,199,-18,,,,,,,,
74,Niklas Eckerblom,18,Sweden,73,209,R,"2,002",204,91,32,15,6,21,34,-2,,,,,,,,
"49,474",Jean-Francois Dufort,20,Canada,74,201,L,"2,002",205,,68,22,41,63,267,21,16,4,9,13,24,3,,
539,Pierre Johnsson,18,Sweden,74,196,D,"2,002",207,74,44,1,9,10,50,0,3,0,2,2,2,0,,
"3,240",Joni Lindlof,18,Finland,74,198,L,"2,002",209,,43,21,11,32,26,19,,,,,,,,
"58,431",Bryan Hamm,18,Canada,78,247,D,"2,002",210,,39,1,1,2,127,2,4,0,0,0,2,0,,
"19,271",Patrick Murphy,19,USA,74,209,L,"2,002",211,79,48,11,21,32,99,0,,,,,,,,
"28,376",Marc-Andre Roy,19,Canada,74,218,L,"2,002",214,,58,0,1,1,432,-4,5,0,0,0,0,0,,
"20,516",Mikhail Lyubushin,19,Russia,74,205,D,"2,002",215,,55,4,7,11,56,-10,3,0,0,0,0,-1,,
"14,966",Ladislav Kouba,19,Czech Rep.,73,207,L,"2,002",216,98,62,16,14,30,33,22,23,5,3,8,6,6,,
301,Jonas Johnson,32,Sweden,74,185,C,"2,002",221,,85,22,43,65,40,24,10,3,2,5,4,0,,
"11,529",Scott May,20,Canada,70,187,C,"2,002",222,,40,12,17,29,42,0,,,,,,,,
"9,574",Ilya Krikunov,18,Russia,71,179,L,"2,002",223,52,61,18,24,42,38,-1,,,,,,,,
"14,087",Adam Taylor,18,Canada,73,205,C,"2,002",224,87,72,11,23,34,119,8,19,3,4,7,15,10,,
"8,890",Ryan Steeves,20,Canada,72,194,C,"2,002",227,60,31,9,13,22,20,0,,,,,,,,
"19,580",Dmitri Utkin,18,Russia,72,212,L,"2,002",228,42,32,15,7,22,33,0,,,,,,,,
"14,851",Colton Fretter,20,Canada,70,181,C,"2,002",230,,52,51,53,104,62,0,15,5,3,8,2,0,,
"22,789",Jaroslav Kracik,19,Czech Rep.,73,187,C,"2,002",231,,51,19,39,58,46,29,2,0,0,0,0,0,,
"19,246",Peter Hafner,19,USA,77,205,D,"2,002",232,81,26,2,19,21,20,0,,,,,,,,
"13,440",Kaleb Betts,19,Canada,70,190,F,"2,002",235,,54,35,37,72,92,0,,,,,,,,
"51,175",Tyler Boldt,18,Canada,74,198,D,"2,002",236,,62,5,14,19,76,13,4,1,0,1,0,0,,
"3,186",Jyri Marttinen,20,Finland,72,194,D,"2,002",238,,77,3,10,13,89,10,1,0,0,0,0,0,,
"11,035",Ryan Lannon,20,USA,74,220,D,"2,002",239,,34,0,2,2,38,0,,,,,,,,
"9,575",Igor Ignatushkin,18,Russia,72,194,C,"2,002",242,80,60,5,16,21,28,-12,,,,,,,,
"3,218",Tuomas Mikkonen,19,Finland,74,203,L,"2,002",243,,29,6,11,17,29,-1,4,0,2,2,0,0,,
"13,658",Tomas Micka,19,Czech Rep.,76,207,L,"2,002",245,,50,12,16,28,79,5,,,,,,,,
"45,900",Josef Vavra,18,Czech Rep.,72,183,L,"2,002",246,,35,3,12,15,39,1,,,,,,,,
"3,245",Tuukka Pulliainen,18,Finland,72,194,C,"2,002",248,,52,13,16,29,16,5,,,,,,,,
"58,469",Marcus Smith,19,Canada,73,190,D,"2,002",249,,65,6,25,31,63,20,4,1,0,1,8,0,,
"13,447",Dan Glover,19,Canada,75,209,D,"2,002",250,,55,1,10,11,110,0,,,,,,,,
"17,119",Jason Kostadine,19,USA,74,185,R,"2,002",251,,70,8,5,13,295,-10,12,1,0,1,37,-1,,
"8,338",Martin Chabada,25,Czech Rep.,73,203,R,"2,002",252,,57,19,21,40,121,22,13,4,7,11,4,11,,
"2,693",Pauli Levokari,24,Finland,78,234,D,"2,002",257,,29,3,5,8,86,1,,,,,,,,
"59,304",Sergei Shemetov,18,Russia,73,198,L,"2,002",258,41,43,6,8,14,76,-4,,,,,,,,
"14,953",Pierre-Olivier Beaulieu,18,Canada,76,216,D,"2,002",260,,62,4,7,11,65,-2,9,0,0,0,6,-3,,
"58,471",Francois Caron,18,Canada,75,207,D,"2,002",261,85,68,3,17,20,99,-33,,,,,,,,
284,Christian Soderstrom,22,Sweden,72,192,L,"2,002",262,,48,8,8,16,16,-14,,,,,,,,
"14,828",Sergei Mozyakin,21,Russia,71,185,L,"2,002",263,,54,34,30,64,10,56,14,10,13,23,4,12,,
"58,429",Steven Spencer,20,Canada,75,218,D,"2,002",266,,65,1,4,5,226,-3,11,0,0,0,36,-2,,
"39,663",Chris Petrow,18,Canada,75,198,D,"2,002",267,64,60,8,28,36,81,1,5,0,2,2,0,-2,,
"12,235",Mikhail Tyulyapkin,18,Russia,74,240,D,"2,002",268,100,35,1,6,7,54,0,,,,,,,,
204,Mika Hannula,23,Sweden,71,190,R,"2,002",269,,47,10,9,19,26,4,5,2,1,3,0,0,,
"43,125",Rob Flynn,19,USA,74,220,L,"2,002",270,,30,1,3,4,6,0,,,,,,,,
"28,602",Martin Cizek,18,Czech Rep.,74,203,D,"2,002",271,25,50,2,6,8,34,7,,,,,,,,
532,Patric Blomdahl,18,Sweden,73,212,L,"2,002",272,,30,7,8,15,30,0,7,0,1,1,8,0,,
"11,718",Ned Havern,20,USA,77,201,L,"2,002",273,,38,6,6,12,10,-12,,,,,,,,
526,Fredrik Johansson,18,Sweden,72,187,C,"2,002",274,32,73,18,28,46,49,-2,8,3,8,11,4,0,,
"9,576",Konstantin Korneyev,18,Russia,71,194,D,"2,002",275,34,38,11,26,37,44,12,2,0,0,0,2,0,,
"12,453",Vitali Atyushov,23,Russia,74,192,D,"2,002",276,,51,4,7,11,64,-15,,,,,,,,
"12,648",Thomas Nussli,20,Switzerlan,75,209,L,"2,002",277,88,42,8,6,14,107,3,,,,,,,,
"16,863",Matt Gens,19,USA,72,181,D,"2,002",278,,40,6,17,23,28,22,,,,,,,,
"15,844",Russell Spence,20,Canada,75,220,L,"2,002",280,,55,29,51,80,37,0,15,7,7,14,6,0,,
"13,472",Bill Kinkel,18,USA,77,238,L,"2,002",281,,53,1,2,3,75,-7,1,0,0,0,0,-2,,
"1,345",Per Braxenholm,19,Sweden,74,227,D,"2,002",283,,16,0,1,1,4,-2,,,,,,,,
"15,346",Ryan Macmurchy,19,Canada,74,207,R,"2,002",284,,61,32,52,84,63,0,11,2,5,7,13,0,,
"15,030",Alexei Glukhov,18,Russia,76,225,C,"2,002",286,47,3,0,0,0,0,-2,3,0,0,0,0,0,,
"58,428",John Toffey,20,USA,75,205,F,"2,002",287,,24,2,3,5,4,-2,,,,,,,,
"46,656",Michael Hutchins,20,USA,71,196,D,"2,002",288,103,60,7,30,37,133,0,3,0,1,1,2,0,,
"11,717",Sean Collins,19,USA,69,170,C,"2,002",289,91,40,20,25,45,4,0,,,,,,,,
"52,111",Pavel Frolov,18,Russia,73,176,F,"2,002",290,,33,3,8,11,8,0,,,,,,,,
"1,346",Jonathan Ericsson,18,Sweden,76,220,D,"2,002",291,,0,0,0,0,0,0,,,,,,,,
"9,475",Dany Roussin,20,Canada,74,201,L,"2,005",50,,69,54,62,116,66,61,13,11,9,20,8,10,,
"18,009",William Colbert,20,Canada,74,205,D,"2,005",183,,68,6,26,32,65,22,21,3,8,11,8,-1,,
"15,540",Trevor Hendrikx,20,Canada,74,205,D,"2,005",201,,68,15,33,48,100,-6,14,5,7,12,14,1,,
"11,595",A.J. Thelen,18,USA,75,212,D,"2,004",12,11,41,11,18,29,50,16,,,,,,,,
"9,483",Andy Rogers,18,Canada,77,207,D,"2,004",30,24,71,2,5,7,115,10,7,0,0,0,11,-2,,
"1,269",Johannes Salmonsson,18,Sweden,74,207,L,"2,004",31,20,44,4,14,18,16,6,,,,,,,,
507,Johan Fransson,19,Sweden,74,198,D,"2,004",34,7,68,9,8,17,54,7,2,0,0,0,4,-1,,
"11,474",Logan Stephenson,18,Canada,75,205,D,"2,004",35,35,69,3,8,11,112,2,11,1,1,2,10,-2,,
"11,418",Darin Olver,19,Germany,71,183,C,"2,004",36,120,41,13,21,34,26,-3,,,,,,,,
"18,015",Jordan Smith,19,Canada,74,220,D,"2,004",39,51,68,6,20,26,140,12,,,,,,,,
"9,259",Roman Voloshenko,18,Russia,73,207,L,"2,004",42,19,56,15,15,30,60,5,4,1,1,2,4,2,,
"11,605",Roman Teslyuk,18,Russia,73,212,D,"2,004",44,26,70,5,9,14,118,-6,5,0,1,1,2,3,,
"9,488",Ryan Garlock,18,Canada,72,203,C,"2,004",45,16,59,20,32,52,50,14,4,1,0,1,6,-4,,
"14,004",Bruce Graham,19,Canada,78,234,C,"2,004",51,14,68,24,33,57,89,-4,18,0,14,14,4,4,,
"9,229",Jakub Sindel,18,Czech Rep.,72,181,C,"2,004",54,15,88,24,26,50,38,9,13,1,1,2,2,1,,
"9,213",Geoff Paukovich,18,USA,76,209,L,"2,004",57,80,17,4,2,6,39,-2,,,,,,,,
"9,254",Kirill Lyamin,18,Russia,74,207,D,"2,004",58,17,47,2,5,7,58,1,,,,,,,,
"9,484",Kyle Wharton,18,Canada,75,207,D,"2,004",59,13,50,4,10,14,58,10,7,2,3,5,4,-1,,
"9,260",Mikhail Yunkov,18,Russia,72,207,C,"2,004",62,18,54,9,15,24,26,9,4,0,1,1,0,2,,
"11,524",Mark Tobin,19,Canada,75,214,C,"2,004",65,85,69,22,16,38,112,6,9,4,1,5,12,-2,,
"9,588",Denis Parshin,18,Russia,70,154,L,"2,004",72,16,61,14,23,37,32,4,,,,,,,,
"9,235",Zdenek Bahensky,18,Czech Rep.,74,190,R,"2,004",73,24,75,19,24,43,224,14,2,1,1,2,14,2,,
"9,411",Kyle Klubertanz,19,USA,72,181,D,"2,004",74,98,57,6,21,27,124,10,,,,,,,,
"9,436",Shawn Weller,18,USA,74,218,L,"2,004",77,32,36,17,22,39,117,0,3,3,3,6,6,0,,
"14,877",Billy Ryan,19,USA,73,174,C,"2,004",80,95,37,35,55,90,40,0,,,,,,,,
"12,114",Vaclav Meidl,18,Czech Rep.,76,225,C,"2,004",81,28,67,14,28,42,108,1,9,0,3,3,4,-2,,
"11,495",Sergei Ogorodnikov,18,Russia,72,185,C,"2,004",82,11,27,11,3,14,18,5,,,,,,,,
"12,297",Viktor Alexandrov,19,Kazakhstan,69,168,R,"2,004",83,8,57,5,4,9,24,-6,4,1,1,2,4,-3,,
"15,041",Brian Gifford,19,USA,74,187,C,"2,004",85,130,26,19,37,56,26,0,,,,,,,,
"9,487",John Lammers,18,Canada,70,183,L,"2,004",86,48,69,24,24,48,31,6,,,,,,,,
"11,528",Clayton Barthel,18,Canada,75,205,D,"2,004",88,53,72,3,14,17,125,13,,,,,,,,
"14,875",Rob Bellamy,19,USA,73,190,R,"2,004",92,66,39,19,25,44,120,0,,,,,,,,
"15,066",Paul Baier,19,USA,75,212,D,"2,004",95,89,23,6,4,10,22,0,,,,,,,,
"12,251",Andrei Plekhanov,18,Russia,74,201,D,"2,004",96,111,0,0,0,0,0,0,,,,,,,,
"18,033",R.J. Anderson,18,USA,72,194,D,"2,004",101,82,54,38,72,110,34,0,,,,,,,,
"18,032",Roman Tomanek,18,Slovakia,73,198,R,"2,004",103,30,45,32,20,52,67,32,,,,,,,,
"2,495",Fredrik Naslund,18,Sweden,77,209,L,"2,004",104,32,72,16,25,41,14,-6,3,0,1,1,4,0,,
"18,031",Evan Schafer,19,Canada,74,220,D,"2,004",105,56,71,3,6,9,190,-6,6,0,0,0,14,0,,
"15,024",Chad Painchaud,18,Canada,73,185,R,"2,004",106,42,68,17,25,42,25,23,24,4,6,10,23,5,,
"18,030",Nick Fugere,19,Canada,74,229,L,"2,004",107,118,54,10,13,23,121,5,15,3,4,7,11,4,,
"10,637",Ashton Rome,21,Canada,73,203,R,"2,006",143,224,65,30,34,64,130,5,,,,,,,,
"17,817",Ned Lukacevic,18,Canada,72,203,C,"2,004",110,107,72,19,14,33,65,-7,4,1,1,2,2,-2,,
"9,665",Roman Kukumberg,24,Slovakia,73,198,C,"2,004",113,,60,16,20,36,95,38,11,4,8,12,14,6,,
"9,233",Michal Birner,18,Czech Rep.,72,201,L,"2,004",116,68,79,33,45,78,128,11,2,0,1,1,4,-1,,
"9,242",Julien Sprunger,18,Switzerlan,76,198,R,"2,004",117,27,60,16,13,29,38,7,4,0,0,0,4,0,,
"4,131",Aki Seitsonen,18,Finland,74,192,C,"2,004",118,30,71,16,24,40,18,9,5,0,0,0,0,-1,,
"53,546",Mitch Maunu,18,Canada,73,225,D,"2,004",120,71,68,11,15,26,91,2,4,1,0,1,0,-8,,
"11,671",Kris Hogg,18,Canada,71,179,L,"2,004",121,114,72,24,14,38,79,23,5,0,1,1,6,0,,
"9,234",Karel Hromas,18,Czech Rep.,73,220,L,"2,004",123,45,80,16,16,32,30,9,2,0,0,0,0,0,,
"15,047",Andrew Sarauer,20,Hungary,76,205,C,"2,004",125,227,57,43,32,75,71,0,,,,,,,,
"9,491",Evan Mcgrath,18,Canada,72,187,C,"2,004",128,36,75,16,37,53,32,4,5,2,1,3,2,-4,,
"23,857",Michal Sersen,19,Slovakia,74,203,D,"2,004",130,43,45,7,18,25,30,20,9,1,5,6,6,-4,,
"11,326",Trevor Kell,18,Canada,72,183,R,"2,004",131,150,62,9,14,23,48,15,15,7,8,15,14,15,,
"1,950",Oscar Hedman,18,Sweden,72,212,D,"2,004",132,22,76,17,18,35,42,-7,16,3,6,9,6,0,,
"9,228",Petr Pohl,18,Czech Rep.,71,190,R,"2,004",133,58,70,23,27,50,16,11,8,0,2,2,2,-1,,
"9,620",Roman Psurny,18,Czech Rep.,73,187,C,"2,004",135,53,80,27,41,68,140,8,5,0,0,0,2,0,,
"4,130",Pasi Salonen,19,Finland,71,194,L,"2,004",138,126,36,12,10,22,60,5,9,4,4,8,8,8,,
"14,182",Jim Mckenzie,20,USA,73,209,R,"2,004",141,104,59,26,38,64,168,13,,,,,,,,
"9,245",Juraj Gracik,18,Slovakia,75,194,L,"2,004",142,26,34,18,8,26,12,1,,,,,,,,
"11,526",Eric Neilson,20,Canada,74,205,R,"2,004",143,,50,4,11,15,194,-4,9,0,0,0,28,-1,,
"15,308",Chris Zarb,19,USA,76,196,D,"2,004",144,37,43,4,20,24,78,23,11,0,4,4,17,7,,
"11,351",Gino Pisellini,18,USA,72,209,R,"2,004",149,112,68,15,15,30,214,4,9,0,3,3,23,-1,,
"12,191",Sergei Kolosov,18,Belarus,76,203,D,"2,004",151,82,60,2,7,9,66,-3,9,1,2,3,10,0,,
"13,615",Bret Nasby,18,Canada,75,187,D,"2,004",152,79,56,0,7,7,41,-5,7,0,3,3,6,-1,,
"1,290",Richard Demen Willaume,18,Sweden,75,223,D,"2,004",154,73,61,11,9,20,70,1,12,1,3,4,10,0,,
"18,029",Andrei Mikhailishin,18,Russia,76,220,D,"2,004",155,35,0,0,0,0,0,0,,,,,,,,
"9,603",Dmitri Vorobyov,19,Russia,74,243,D,"2,004",157,29,33,2,1,3,16,3,4,0,0,0,4,0,,
"12,039",Brandon Elliott,20,Canada,76,227,D,"2,004",158,,55,7,19,26,237,1,13,0,0,0,32,2,,
"12,166",Jean-Claude Sawyer,18,Canada,75,194,D,"2,004",161,163,56,5,13,18,48,14,2,0,0,0,2,-2,,
"11,324",Tyler Haskins,18,USA,73,194,C,"2,004",162,46,63,18,27,45,32,18,18,5,4,9,10,-1,,
"9,417",Dusty Collins,19,USA,75,212,C,"2,004",163,,36,1,6,7,30,-2,,,,,,,,
"11,694",Moises Gutierrez,18,USA,76,227,R,"2,004",164,166,71,7,12,19,107,3,5,1,0,1,6,1,,
"14,865",Scott Mcculloch,18,Canada,73,201,L,"2,004",165,40,44,23,26,49,85,0,,,,,,,,
"9,655",Peter Guggisberg,19,Switzerlan,71,192,R,"2,004",166,42,44,14,11,25,0,3,6,0,0,0,4,0,,
"12,131",Kevin Cormier,18,Canada,75,236,L,"2,004",168,,43,3,2,5,240,1,,,,,,,,
"18,028",Jordan Foote,19,Canada,75,205,R,"2,004",169,69,58,23,26,49,73,0,24,3,7,10,37,0,,
"9,252",Ladislav Scurko,18,Slovakia,73,216,C,"2,004",170,38,75,23,32,55,124,6,8,6,3,9,10,0,,
"9,494",Frederik Cabana,18,Canada,73,183,C,"2,004",171,63,77,18,25,43,96,-9,,,,,,,,
"9,427",Matt Auffrey,18,USA,74,203,R,"2,004",172,152,16,3,5,8,16,1,,,,,,,,
"11,601",Aaron Boogaard,18,Canada,75,220,R,"2,004",175,,35,3,2,5,57,1,6,0,0,0,8,0,,
"11,308",Max Gordichuk,18,Canada,78,216,D,"2,004",177,70,70,0,8,8,54,8,5,0,1,1,6,1,,
"9,619",Jaroslav Mrazek,18,Czech Rep.,75,220,D,"2,004",179,85,55,3,7,10,52,5,1,0,0,0,0,0,,
"1,255",Fred Wikner,18,Sweden,73,198,R,"2,004",182,70,58,12,15,27,101,1,9,2,2,4,8,0,,
"14,859",Trevor Ludwig,19,USA,73,209,D,"2,004",183,188,54,5,27,32,93,0,,,,,,,,
"18,027",Jan Zapletal,18,Czech Rep.,73,183,D,"2,004",188,55,51,2,4,6,26,-2,4,0,0,0,0,0,,
"2,034",Anton Axelsson,18,Sweden,72,207,L,"2,004",192,144,35,7,11,18,32,0,10,2,3,5,2,0,,
"13,482",Kevin Schaeffer,20,USA,73,201,D,"2,004",193,129,38,5,12,17,20,7,,,,,,,,
"9,497",Jean-Michel Rizk,18,Canada,73,194,R,"2,004",195,137,75,12,19,31,89,-20,,,,,,,,
"51,401",Justin Vienneau,18,Canada,76,216,D,"2,004",198,139,53,0,7,7,129,4,11,0,1,1,19,7,,
"18,026",Matt Schneider,19,Canada,79,212,C,"2,004",200,,69,11,12,23,53,2,11,3,2,5,4,0,,
"11,237",Ryan Pottruff,18,Canada,72,225,D,"2,004",202,211,51,3,5,8,48,9,15,0,0,0,6,0,,
"4,223",Miikka Tuomainen,18,Finland,75,225,L,"2,004",204,104,47,12,9,21,10,-2,,,,,,,,
"18,025",Mike Curry,20,USA,75,198,R,"2,004",205,,60,20,20,40,119,4,7,2,5,7,16,3,,
"11,533",Stephane Goulet,18,Canada,75,207,R,"2,004",208,,54,6,8,14,14,-14,5,0,0,0,2,0,,
"13,659",Stanislav Balan,18,Czech Rep.,74,176,C,"2,004",209,48,80,25,39,64,128,5,5,2,0,2,31,0,,
